player,PTS,MP,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,TOV,BLK,PF,AVG,FPTS
Nikola Jokić,24.5,33.7,9.4,14.8,0.8,2.2,4.9,6.0,2.4,9.4,9.8,1.3,3.6,0.7,2.5,51.68717188020604,3618.1020316144227
Joel Embiid,33.1,34.6,11.0,20.1,1.0,3.0,10.0,11.7,1.7,8.4,4.2,1.0,3.4,1.7,3.1,50.604582309882716,3542.3207616917903
LeBron James,28.9,35.5,11.1,22.2,2.2,6.9,4.6,5.9,1.2,7.1,6.8,0.9,3.2,0.6,1.6,50.156111020207895,3510.927771414553
Luka Dončić,32.4,36.2,10.9,22.0,2.8,8.2,7.8,10.5,0.8,7.8,8.0,1.4,3.6,0.5,2.5,49.77260696276538,3484.0824873935767
Giannis Antetokounmpo,31.1,32.1,11.2,20.3,0.7,2.7,7.9,12.3,2.2,9.6,5.7,0.8,3.9,0.8,3.1,49.52748364988017,3466.923855491612
Kevin Durant,29.1,35.6,10.3,18.3,2.0,4.9,6.5,7.1,0.4,6.3,5.0,0.7,3.3,1.4,2.1,46.78419516813191,3274.8936617692334
Anthony Davis,25.9,34.0,9.7,17.2,0.3,1.3,6.2,7.9,3.5,9.1,2.6,1.1,2.2,2.0,2.6,46.44354693592843,3251.0482855149903
Jayson Tatum,30.1,36.9,9.8,21.1,3.2,9.3,7.2,8.4,1.1,7.7,4.6,1.1,2.9,0.7,2.2,45.82107919054622,3207.4755433382356
Shai Gilgeous-Alexander,31.4,35.5,10.4,20.3,0.9,2.5,9.8,10.9,0.9,4.0,5.5,1.6,2.8,1.0,2.8,45.63202843268038,3194.2419902876263
Damian Lillard,32.2,36.3,9.6,20.7,4.2,11.3,8.8,9.6,0.8,4.0,7.3,0.9,3.3,0.3,1.9,44.91765059364026,3144.235541554818
Ja Morant,26.2,31.9,9.3,19.9,1.5,4.9,6.1,8.1,1.0,4.9,8.1,1.1,3.4,0.3,1.6,44.357394081942566,3105.0175857359795
Stephen Curry,29.4,34.7,10.0,20.2,4.9,11.4,4.6,5.0,0.7,5.4,6.3,0.9,3.2,0.4,2.1,43.72206660023342,3060.5446620163393
Donovan Mitchell,28.3,35.8,10.0,20.6,3.6,9.3,4.7,5.4,0.9,3.3,4.4,1.5,2.6,0.4,2.5,42.92609179098061,3004.8264253686425
Kyrie Irving,27.1,37.4,9.9,20.1,3.1,8.3,4.1,4.6,1.0,4.1,5.5,1.1,2.1,0.8,2.8,42.63562272479907,2984.493590735935
LaMelo Ball,23.3,35.2,8.2,20.0,4.0,10.6,2.8,3.4,1.2,5.3,8.4,1.3,3.6,0.3,3.3,42.62142152484461,2983.4995067391224
James Harden,21.0,36.8,6.4,14.5,2.8,7.2,5.4,6.2,0.7,5.4,10.7,1.2,3.4,0.5,1.9,41.98517860739524,2938.962502517667
Jaylen Brown,26.6,35.9,10.1,20.6,2.4,7.3,3.9,5.1,1.2,5.7,3.5,1.1,2.9,0.4,2.6,41.595002625086146,2911.6501837560304
Trae Young,26.2,34.8,8.2,19.0,2.1,6.3,7.8,8.8,0.8,2.2,10.2,1.1,4.1,0.1,1.4,41.35540742651541,2894.878519856079
Anthony Edwards,24.6,36.0,8.9,19.5,2.7,7.3,4.0,5.3,0.6,5.2,4.4,1.6,3.3,0.7,2.4,40.665497493751914,2846.584824562634
Devin Booker,27.8,34.6,9.9,20.1,2.1,6.0,5.8,6.8,0.9,3.7,5.5,1.0,2.7,0.3,3.0,40.244858928514795,2817.1401249960354
Zach LaVine,24.8,35.9,8.7,18.0,2.6,7.1,4.7,5.6,0.5,3.9,4.2,0.9,2.5,0.2,2.1,40.14805782452347,2810.3640477166427
Paul George,23.8,34.6,8.2,17.9,2.8,7.6,4.6,5.3,0.8,5.3,5.1,1.5,3.1,0.4,2.8,39.84977973226864,2789.4845812588046
Jimmy Butler,22.9,33.4,7.5,13.9,0.6,1.6,7.4,8.7,2.2,3.7,5.3,1.8,1.6,0.3,1.3,39.47648068099741,2763.3536476698187
Pascal Siakam,24.2,37.4,8.9,18.5,1.3,4.0,5.2,6.7,1.8,6.0,5.8,0.9,2.4,0.5,3.2,39.13017971381977,2739.112579967384
Julius Randle,25.1,35.5,8.5,18.6,2.8,8.3,5.2,6.9,1.8,8.1,4.1,0.6,2.8,0.3,3.0,38.8235956370208,2717.651694591456
De'Aaron Fox,25.0,33.4,9.3,18.2,1.6,5.0,4.7,6.0,0.5,3.6,6.1,1.1,2.5,0.3,2.4,38.65987905861546,2706.191534103082
Brandon Ingram,24.7,34.2,9.0,18.6,1.4,3.6,5.3,6.0,0.5,5.0,5.8,0.7,3.3,0.4,2.6,38.650884056716976,2705.5618839701883
Lauri Markkanen,25.6,34.4,8.7,17.3,3.0,7.7,5.3,6.0,2.0,6.7,1.9,0.6,1.9,0.6,2.1,38.511586190230005,2695.8110333161003
DeMar DeRozan,24.5,36.2,8.9,17.6,0.6,1.9,6.2,7.1,0.5,4.2,5.1,1.1,2.1,0.5,2.5,38.37290126370235,2686.1030884591646
Fred VanVleet,19.3,36.7,6.3,16.1,3.0,8.8,3.7,4.1,0.4,3.6,7.2,1.8,2.0,0.6,2.8,38.03639654016907,2662.5477578118353
Kristaps Porziņģis,23.2,32.6,7.8,15.7,2.1,5.5,5.4,6.4,1.8,6.6,2.7,0.9,2.1,1.5,3.0,37.817140158813714,2647.19981111696
Domantas Sabonis,19.1,34.6,7.3,11.9,0.4,1.1,4.1,5.5,3.2,9.1,7.3,0.8,2.9,0.5,3.5,37.26189473752146,2608.332631626502
CJ McCollum,20.9,35.3,7.8,17.9,2.8,7.2,2.4,3.2,0.7,3.6,5.7,0.9,2.4,0.5,2.0,37.16131380284908,2601.2919661994356
