Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Bam Adebayo;C;25;MIA;11;11;35;7.5;15;0.497;0;0.2;0;7.5;14.8;0.503;0.497;3.2;3.9;0.814;2.8;6.4;9.2;3.5;1.1;0.6;2.6;3.5;18.1
2;Santi Aldama;PF;22;MEM;6;0;16.8;2.5;5.5;0.455;1.2;2.5;0.467;1.3;3;0.444;0.561;0.3;0.3;1;1.2;3.2;4.3;1.2;0.5;0;0.3;0.8;6.5
3;Nickeil Alexander-Walker;SG;24;MIN;5;4;29.6;3;7;0.429;2;5;0.4;1;2;0.5;0.571;0.4;0.6;0.667;0.2;1.8;2;1.4;0.6;0.2;0.8;1.8;8.4
4;Grayson Allen;SG;27;MIL;5;5;29.8;3.8;8.2;0.463;2.8;5.8;0.483;1;2.4;0.417;0.634;1.2;1.4;0.857;0.2;2.2;2.4;1.8;0.4;0;0.8;1.4;11.6
5;Jarrett Allen;C;24;CLE;5;5;38.2;4.4;7.2;0.611;0;0;0;4.4;7.2;0.611;0.611;0.6;1.2;0.5;3;4.4;7.4;2.4;0.8;1;0.6;2;9.4
6;Kyle Anderson;PF;29;MIN;4;0;26;3.8;7.5;0.5;0.5;1.5;0.333;3.3;6;0.542;0.533;0.5;0.5;1;0.8;3.3;4;4.5;1.8;0.5;1.5;3.3;8.5
7;Giannis Antetokounmpo;PF;28;MIL;3;3;30.3;9.3;17.7;0.528;0;1;0;9.3;16.7;0.56;0.528;4.7;10.3;0.452;2.7;8.3;11;5.3;0.3;0.7;4.7;3;23.3
8;Thanasis Antetokounmpo;SF;30;MIL;2;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Deandre Ayton;C;24;PHO;10;10;31.9;6.1;11.1;0.55;0;0;0;6.1;11.1;0.55;0.55;1.2;2.3;0.522;2.9;6.8;9.7;1;0.6;0.7;1.7;3.5;13.4
10;Patrick Baldwin Jr.;SF;20;GSW;3;0;3.7;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0.3;0;0;0;0;0
11;Mo Bamba;C;24;LAL;3;0;3.3;0;0.7;0;0;0.3;0;0;0.3;0;0;0;0;0;0;1;1;0.3;0;0.3;0;0;0
12;Desmond Bane;SG;24;MEM;6;6;38.5;8.2;19.3;0.422;2.7;8.3;0.32;5.5;11;0.5;0.491;4.5;4.8;0.931;1.2;4.8;6;3.2;0.5;0;2.8;3.2;23.5
13;Harrison Barnes;PF;30;SAC;7;7;28;3.6;8.6;0.417;0.9;3.6;0.24;2.7;5;0.543;0.467;2.7;3.7;0.731;1.4;2;3.4;0.7;1.1;0.3;0.4;0.7;10.7
14;RJ Barrett;SG;22;NYK;11;11;34.3;6.5;14.9;0.433;1.8;5.5;0.328;4.6;9.4;0.495;0.494;4.5;5.9;0.769;0.5;4;4.5;2.8;0.8;0.2;2.3;2.3;19.3
15;Nicolas Batum;PF;34;LAC;5;3;18.4;1.6;3.8;0.421;1.2;3.4;0.353;0.4;0.4;1;0.579;0;0;0;0.2;2;2.2;1.2;0.4;0.4;0.4;2;4.4
16;Malik Beasley;SG;26;LAL;10;0;9;1;3.3;0.303;0.7;2.5;0.28;0.3;0.8;0.375;0.409;0.6;0.6;1;0.3;0.5;0.8;0.2;0.1;0;0.2;0.6;3.3
17;MarJon Beauchamp;SF;22;MIL;2;0;2.5;1;1.5;0.667;0.5;0.5;1;0.5;1;0.5;0.833;0;0;0;0;0.5;0.5;0;0;0;0;0;2.5
18;Saddiq Bey;SF;23;ATL;6;0;22.2;2.5;6.7;0.375;1.2;3;0.389;1.3;3.7;0.364;0.463;1.3;1.5;0.889;1.2;2.8;4;1;0.5;0;0.3;0.5;7.5
19;Bismack Biyombo;C;30;PHO;8;0;9.8;1.1;2;0.563;0;0;0;1.1;2;0.563;0.563;1.1;2.3;0.5;1.3;2.1;3.4;0.8;0;1.3;0.8;2.3;3.4
20;Bogdan Bogdanovi?;SG;30;ATL;6;1;26.2;5;9;0.556;2.5;5.5;0.455;2.5;3.5;0.714;0.694;0.8;1.2;0.714;0.3;2.7;3;2.5;1;0.8;0.5;2.7;13.3
21;Devin Booker;SG;26;PHO;11;11;41.7;12.8;21.9;0.585;2.8;5.5;0.508;10;16.4;0.611;0.649;5.3;6.1;0.866;1.1;3.7;4.8;7.2;1.7;0.8;2.9;3.4;33.7
22;Brandon Boston Jr.;SG;21;LAC;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
23;Christian Braun;SG;21;DEN;11;0;13.2;1.1;2.2;0.5;0.2;0.5;0.333;0.9;1.6;0.556;0.542;0.5;0.9;0.6;0.6;1.7;2.4;0.5;0.5;0.1;0.6;1.7;2.9
24;Mikal Bridges;SF;26;BRK;4;4;39.3;8.3;19.3;0.429;2.5;6.3;0.4;5.8;13;0.442;0.494;4.5;5.8;0.783;0.5;4.8;5.3;4;0.5;0.5;2;1.3;23.5
25;Malcolm Brogdon;PG;30;BOS;12;0;27.7;5.4;11.9;0.455;2.3;5.3;0.444;3.1;6.7;0.463;0.552;1.8;2.2;0.846;0.8;3.4;4.3;3.8;0.2;0.2;1.2;1.6;15
26;Dillon Brooks;SF;27;MEM;6;6;27.8;4;12.8;0.312;1.7;7;0.238;2.3;5.8;0.4;0.377;0.8;1.2;0.714;0.5;2.5;3;1.8;0.2;0;1.2;3.3;10.5
27;Bruce Brown;SG;26;DEN;11;0;25.9;4.5;8.5;0.532;0.6;2.5;0.259;3.9;6.1;0.642;0.569;2.5;2.8;0.871;0.5;3.3;3.8;2.1;1.3;0.4;1.3;2.6;12.2
28;Jaylen Brown;SF;26;BOS;12;12;37.5;9.7;17.7;0.547;2.5;5.3;0.469;7.2;12.3;0.581;0.618;2.8;4.1;0.673;0.9;4.3;5.3;3.5;0.9;0.3;3.2;3.1;24.6
29;Troy Brown Jr.;SF;23;LAL;11;0;11.3;0.8;2.4;0.346;0.2;1.3;0.143;0.6;1.1;0.583;0.385;0;0;0;0.3;1.8;2.1;1;0.2;0.1;0;0.4;1.8
30;Jalen Brunson;PG;26;NYK;11;11;40.3;9.9;20.9;0.474;2.4;7.3;0.325;7.5;13.6;0.553;0.53;5.6;6.2;0.912;0.8;4.1;4.9;5.6;1.5;0.1;2.1;2.4;27.8
31;Jimmy Butler;SF;33;MIA;10;10;39.1;10.9;20.7;0.527;1.3;3.6;0.361;9.6;17.1;0.561;0.558;8;10.1;0.792;2.1;4.5;6.6;5.4;1.7;0.8;2;1.9;31.1
32;Kentavious Caldwell-Pope;SG;29;DEN;11;11;33.2;3.7;7.8;0.477;1.6;4.2;0.391;2.1;3.6;0.575;0.581;1.5;1.6;0.889;0.6;2.6;3.3;1.6;1.4;0.5;0.6;2.1;10.5
33;Vlatko ?an?ar;PF;25;DEN;4;0;2.5;0;1.3;0;0;1;0;0;0.3;0;0;0;0;0;0;0.8;0.8;0.3;0;0;0;0;0
34;Clint Capela;C;28;ATL;6;6;25.2;3.8;6.3;0.605;0;0;0;3.8;6.3;0.605;0.605;0.7;1;0.667;2.5;5.8;8.3;0.5;1;0.5;0.7;0.8;8.3
35;Jevon Carter;PG;27;MIL;4;0;12.3;0.5;2.3;0.222;0.3;1.8;0.143;0.3;0.5;0.5;0.278;0;0;0;0;1;1;1;0.3;0;0;0.3;1.3
36;Justin Champagnie;SF;21;BOS;1;0;5;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
37;Max Christie;SG;19;LAL;8;0;4;0.6;1.3;0.5;0.1;0.5;0.25;0.5;0.8;0.667;0.55;0.3;0.5;0.5;0;0.8;0.8;0.4;0;0.1;0;0;1.6
38;Nic Claxton;C;23;BRK;4;4;29.3;4.5;6.3;0.72;0;0;0;4.5;6.3;0.72;0.72;1.5;2.5;0.6;1.3;6.8;8;1.5;0.3;1.8;0.8;2;10.5
39;Amir Coffey;SG;25;LAC;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;John Collins;PF;25;ATL;6;6;27.3;4.3;10;0.433;1.8;5.3;0.344;2.5;4.7;0.536;0.525;0.8;1;0.833;1.2;3.2;4.3;0.8;0.3;1;1.5;2.2;11.3
41;Mike Conley;PG;35;MIN;5;5;36.6;4;8.4;0.476;2;4.4;0.455;2;4;0.5;0.595;2;2.2;0.909;0.4;2.2;2.6;6.4;0.6;0;1.4;2.2;12
42;Pat Connaughton;SG;30;MIL;4;0;22;4.3;7.5;0.567;2.8;5.8;0.478;1.5;1.8;0.857;0.75;0.8;1;0.75;1;4;5;1.8;1;0.3;0.5;2.5;12
43;Robert Covington;PF;32;LAC;2;0;6;0;1.5;0;0;1;0;0;0.5;0;0;0;0;0;0;1;1;1;0;0.5;0;1;0
